activity_id,user_id,activity_id_num,user_id_num,identifier_id,has_up,has_down,up_path,down_path,has_data_up,has_data_down,WTLA,WTC,WTRA,WTRL,WTLL,activity_id_num_ori,data_type
action_00,user16,0,16,1-1-1,True,True,IMU/action_00/user16/1-1-1/up.csv,IMU/action_00/user16/1-1-1/down.csv,True,True,45,46,46,46,44,0,train
action_00,user16,0,16,1-1-2,True,True,IMU/action_00/user16/1-1-2/up.csv,IMU/action_00/user16/1-1-2/down.csv,True,True,55,53,55,54,53,0,train
action_00,user16,0,16,1-1-3,True,True,IMU/action_00/user16/1-1-3/up.csv,IMU/action_00/user16/1-1-3/down.csv,True,True,18,18,17,21,20,0,train
action_00,user18,0,18,7-1-1,True,True,IMU/action_00/user18/7-1-1/up.csv,IMU/action_00/user18/7-1-1/down.csv,True,True,20,20,20,20,20,0,train
action_00,user18,0,18,7-1-2,True,True,IMU/action_00/user18/7-1-2/up.csv,IMU/action_00/user18/7-1-2/down.csv,True,True,11,11,11,10,13,0,train
action_00,user18,0,18,7-1-3,True,True,IMU/action_00/user18/7-1-3/up.csv,IMU/action_00/user18/7-1-3/down.csv,True,True,2,2,2,3,2,0,train
action_00,user20,0,20,4-2-2,True,True,IMU/action_00/user20/4-2-2/up.csv,IMU/action_00/user20/4-2-2/down.csv,True,True,22,23,22,23,22,0,train
action_00,user20,0,20,4-2-3,True,True,IMU/action_00/user20/4-2-3/up.csv,IMU/action_00/user20/4-2-3/down.csv,True,True,32,31,33,32,32,0,train
action_00,user21,0,21,1-1-1,True,True,IMU/action_00/user21/1-1-1/up.csv,IMU/action_00/user21/1-1-1/down.csv,True,True,14,14,14,12,14,0,test
action_00,user21,0,21,1-1-2,True,True,IMU/action_00/user21/1-1-2/up.csv,IMU/action_00/user21/1-1-2/down.csv,True,True,8,9,9,8,9,0,test
action_00,user21,0,21,1-1-3,True,True,IMU/action_00/user21/1-1-3/up.csv,IMU/action_00/user21/1-1-3/down.csv,True,True,4,4,5,5,5,0,test
action_00,user21,0,21,4-2-1,True,True,IMU/action_00/user21/4-2-1/up.csv,IMU/action_00/user21/4-2-1/down.csv,True,True,7,5,6,4,6,0,test
action_00,user21,0,21,4-2-2,True,True,IMU/action_00/user21/4-2-2/up.csv,IMU/action_00/user21/4-2-2/down.csv,True,True,4,4,5,4,5,0,test
action_00,user21,0,21,4-2-3,True,True,IMU/action_00/user21/4-2-3/up.csv,IMU/action_00/user21/4-2-3/down.csv,True,True,8,8,8,9,8,0,test
action_00,user22,0,22,1-1-2,True,True,IMU/action_00/user22/1-1-2/up.csv,IMU/action_00/user22/1-1-2/down.csv,True,True,25,25,25,25,1,0,train
action_00,user22,0,22,1-1-3,True,True,IMU/action_00/user22/1-1-3/up.csv,IMU/action_00/user22/1-1-3/down.csv,True,True,7,7,5,5,8,0,train
action_00,user22,0,22,2-2-1,True,True,IMU/action_00/user22/2-2-1/up.csv,IMU/action_00/user22/2-2-1/down.csv,True,True,14,15,14,16,16,0,train
action_00,user22,0,22,2-2-2,True,True,IMU/action_00/user22/2-2-2/up.csv,IMU/action_00/user22/2-2-2/down.csv,True,True,12,11,12,12,13,0,train
action_00,user22,0,22,2-2-3,True,True,IMU/action_00/user22/2-2-3/up.csv,IMU/action_00/user22/2-2-3/down.csv,True,True,3,2,3,4,3,0,train
action_00,user23,0,23,1-1-1,True,True,IMU/action_00/user23/1-1-1/up.csv,IMU/action_00/user23/1-1-1/down.csv,True,True,40,42,42,41,42,0,train
action_00,user23,0,23,1-1-2,True,True,IMU/action_00/user23/1-1-2/up.csv,IMU/action_00/user23/1-1-2/down.csv,True,True,18,18,18,17,19,0,train
action_00,user23,0,23,1-1-3,True,True,IMU/action_00/user23/1-1-3/up.csv,IMU/action_00/user23/1-1-3/down.csv,True,True,16,15,17,17,16,0,train
action_00,user24,0,24,6-2-1,True,True,IMU/action_00/user24/6-2-1/up.csv,IMU/action_00/user24/6-2-1/down.csv,True,True,33,33,34,34,35,0,train
action_00,user24,0,24,6-2-2,True,True,IMU/action_00/user24/6-2-2/up.csv,IMU/action_00/user24/6-2-2/down.csv,True,True,26,24,25,24,25,0,train
