activity_id,user_id,activity_id_num,user_id_num,identifier_id,has_up,has_down,up_path,down_path,has_data_up,has_data_down,WTLA,WTC,WTRA,WTRL,WTLL,data_type
0洗脸,user10,0,10,4-2-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user10/4-2-1/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user10/4-2-1/下(LL+RL).csv,True,True,15,14,14,15,15,train
0洗脸,user10,0,10,4-2-2,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user10/4-2-2/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user10/4-2-2/下(LL+RL).csv,True,True,9,11,10,9,10,train
0洗脸,user10,0,10,4-2-3,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user10/4-2-3/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user10/4-2-3/下(LL+RL).csv,True,True,13,14,13,12,13,train
0洗脸,user11,0,11,1-1-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user11/1-1-1/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user11/1-1-1/下(LL+RL).csv,True,True,11,10,11,11,11,train
0洗脸,user11,0,11,1-1-2,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user11/1-1-2/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user11/1-1-2/下(LL+RL).csv,True,True,9,11,10,10,10,train
0洗脸,user11,0,11,1-1-3,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user11/1-1-3/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user11/1-1-3/下(LL+RL).csv,True,True,3,2,3,3,3,train
0洗脸,user11,0,11,4-2-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user11/4-2-1/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user11/4-2-1/下(LL+RL).csv,True,True,25,25,25,24,25,train
0洗脸,user11,0,11,4-2-2,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user11/4-2-2/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user11/4-2-2/下(LL+RL).csv,True,True,10,11,11,11,11,train
0洗脸,user11,0,11,4-2-3,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user11/4-2-3/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user11/4-2-3/下(LL+RL).csv,True,True,4,4,4,4,5,train
0洗脸,user12,0,12,1-1-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user12/1-1-1/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user12/1-1-1/下(LL+RL).csv,True,True,10,11,10,9,10,train
