activity_id,user_id,caption_id,label_id,trail_id,has_up,has_down,up_path,down_path,has_data_up,has_data_down,WTLA,WTC,WTRA,WTRL,WTLL,activity_id_num,user_id_num,data_type
0-洗脸,用户10-思晗,4,4-2,4-2-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X/labels/SM/0-洗脸/用户10-思晗/4/4-2/4-2-1/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X/labels/SM/0-洗脸/用户10-思晗/4/4-2/4-2-1/下(LL+RL).csv,True,True,15,14,14,15,15,0,10,train
0-洗脸,用户10-思晗,4,4-2,4-2-2,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X/labels/SM/0-洗脸/用户10-思晗/4/4-2/4-2-2/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X/labels/SM/0-洗脸/用户10-思晗/4/4-2/4-2-2/下(LL+RL).csv,True,True,9,11,10,9,10,0,10,train
0-洗脸,用户10-思晗,4,4-2,4-2-3,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X/labels/SM/0-洗脸/用户10-思晗/4/4-2/4-2-3/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X/labels/SM/0-洗脸/用户10-思晗/4/4-2/4-2-3/下(LL+RL).csv,True,True,13,14,13,12,13,0,10,train
0-洗脸,用户11-林森,1,1-1,1-1-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X/labels/SM/0-洗脸/用户11-林森/1/1-1/1-1-1/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X/labels/SM/0-洗脸/用户11-林森/1/1-1/1-1-1/下(LL+RL).csv,True,True,11,10,11,11,11,0,11,train
0-洗脸,用户11-林森,1,1-1,1-1-2,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X/labels/SM/0-洗脸/用户11-林森/1/1-1/1-1-2/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X/labels/SM/0-洗脸/用户11-林森/1/1-1/1-1-2/下(LL+RL).csv,True,True,9,11,10,10,10,0,11,train
0-洗脸,用户11-林森,1,1-1,1-1-3,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X/labels/SM/0-洗脸/用户11-林森/1/1-1/1-1-3/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X/labels/SM/0-洗脸/用户11-林森/1/1-1/1-1-3/下(LL+RL).csv,True,True,3,2,3,3,3,0,11,train
0-洗脸,用户11-林森,4,4-2,4-2-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X/labels/SM/0-洗脸/用户11-林森/4/4-2/4-2-1/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X/labels/SM/0-洗脸/用户11-林森/4/4-2/4-2-1/下(LL+RL).csv,True,True,25,25,25,24,25,0,11,train
0-洗脸,用户11-林森,4,4-2,4-2-2,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X/labels/SM/0-洗脸/用户11-林森/4/4-2/4-2-2/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X/labels/SM/0-洗脸/用户11-林森/4/4-2/4-2-2/下(LL+RL).csv,True,True,10,11,11,11,11,0,11,train
0-洗脸,用户11-林森,4,4-2,4-2-3,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X/labels/SM/0-洗脸/用户11-林森/4/4-2/4-2-3/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X/labels/SM/0-洗脸/用户11-林森/4/4-2/4-2-3/下(LL+RL).csv,True,True,4,4,4,4,5,0,11,train
0-洗脸,用户12-杰炜,1,1-1,1-1-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X/labels/SM/0-洗脸/用户12-杰炜/1/1-1/1-1-1/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X/labels/SM/0-洗脸/用户12-杰炜/1/1-1/1-1-1/下(LL+RL).csv,True,True,10,11,10,9,10,0,12,train
